customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
66,Anselm,Gawne,M,46,20.0,Account Executive,Argiculture,High Net Worth,N,No,1.0
1888,Sibyl,Scholtz,F,67,20.0,Food Chemist,Health,Mass Customer,N,Yes,1.0
2296,Nathalia,Sanger,F,16,20.0,Geologist IV,Retail,Affluent Customer,N,No,1.0
470,Darbee,Klimowicz,M,22,20.0,Internal Auditor,Retail,Mass Customer,N,No,1.0
3949,Costa,Sleightholm,M,24,20.0,Web Designer IV,Manufacturing,High Net Worth,N,Yes,1.0
1402,Hillier,Andraud,M,58,20.0,Assistant Professor,Telecommunications,Mass Customer,N,No,1.0
1519,Marwin,Jeyness,M,35,20.0,Administrative Assistant IV,Telecommunications,High Net Worth,N,Yes,1.0
212,Nanice,Ellse,F,21,20.0,Desktop Support Technician,IT,Affluent Customer,N,No,1.0
2759,Melodee,Hendrik,F,16,20.0,Operator,Health,Affluent Customer,N,Yes,1.0
447,Brittany,Peasey,F,98,20.0,Help Desk Technician,Argiculture,Mass Customer,N,Yes,1.0
1250,Jacklyn,Kewley,F,42,20.0,Help Desk Technician,Manufacturing,Mass Customer,N,No,1.0
751,Amie,Dufty,F,41,20.0,Business Systems Development Analyst,Financial Services,Affluent Customer,N,No,1.0
1322,Kathye,Christie,F,37,20.0,Data Coordiator,Financial Services,Mass Customer,N,Yes,1.0
245,Noell,Grahlmans,F,6,20.0,Associate Professor,Financial Services,Affluent Customer,N,No,1.0
105,Maribeth,Pristnor,F,25,20.0,Recruiting Manager,Manufacturing,Mass Customer,N,No,1.0
3997,Blanch,Nisuis,F,87,20.0,Statistician II,Manufacturing,High Net Worth,N,Yes,1.0
2808,Preston,Tinkham,M,68,20.0,Actuary,Financial Services,Mass Customer,N,Yes,1.0
3254,Lissy,Paliser,F,8,20.0,Human Resources Assistant I,Financial Services,Mass Customer,N,No,1.0
3607,Troy,Blaydes,M,99,20.0,Clinical Specialist,Health,Mass Customer,N,No,1.0
2628,Giselbert,Gudyer,M,29,20.0,Assistant Media Planner,Entertainment,Affluent Customer,N,No,1.0
1813,Reeva,Eakeley,F,45,20.0,Technical Writer,Manufacturing,Mass Customer,N,No,1.0
540,Tresa,Dy,F,80,20.0,Chemical Engineer,Manufacturing,Mass Customer,N,No,1.0
3112,Terri,Gornal,M,41,20.0,Internal Auditor,Retail,High Net Worth,N,Yes,1.0
19,Sorcha,Keyson,F,76,20.0,Geological Engineer,Manufacturing,High Net Worth,N,No,1.0
1355,Isador,Hallitt,M,37,20.0,VP Quality Control,Property,Mass Customer,N,No,1.0
3616,Vale,Dagnan,M,42,20.0,Product Engineer,Property,High Net Worth,N,No,2.0
2600,Darnell,Wistance,M,55,21.0,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,1.0
829,Byran,Goodfield,M,84,21.0,Environmental Tech,Financial Services,High Net Worth,N,Yes,2.0
2392,Isadora,Gronaller,F,48,21.0,Marketing Assistant,Manufacturing,Affluent Customer,N,No,2.0
2998,Quintana,Housley,F,34,21.0,Nurse Practicioner,Manufacturing,High Net Worth,N,Yes,2.0
3367,Melisse,Massei,F,75,21.0,Librarian,Entertainment,Mass Customer,N,Yes,1.0
609,Margalit,Dorwood,F,32,21.0,Computer Systems Analyst II,Health,Mass Customer,N,No,1.0
852,Andie,Bonney,F,37,21.0,Compensation Analyst,Financial Services,Affluent Customer,N,Yes,2.0
1354,Karee,Hyman,F,0,21.0,Analyst Programmer,Financial Services,Affluent Customer,N,No,2.0
1798,Eunice,Risom,F,46,21.0,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,1.0
850,Nevin,Hanfrey,M,79,21.0,Clinical Specialist,Health,Mass Customer,N,No,1.0
3015,Queenie,Flips,F,25,21.0,Assistant Manager,Retail,Affluent Customer,N,No,1.0
373,Eva,Colenutt,F,95,21.0,Structural Analysis Engineer,Health,High Net Worth,N,Yes,1.0
3077,Emelen,Gillopp,M,19,21.0,Information Systems Manager,Manufacturing,Affluent Customer,N,No,2.0
2024,Elinor,Biggerstaff,F,69,21.0,VP Sales,IT,Mass Customer,N,Yes,2.0
15,Erroll,Radage,M,91,21.0,Junior Executive,Manufacturing,Mass Customer,N,No,1.0
2645,Ado,Yaldren,M,20,21.0,Technical Writer,IT,High Net Worth,N,Yes,1.0
1951,Rockie,MacCosty,M,93,21.0,Health Coach II,Manufacturing,Mass Customer,N,Yes,2.0
1076,Siegfried,Trattles,M,33,21.0,Pharmacist,Health,Affluent Customer,N,No,2.0
2731,Meagan,Ferry,F,74,21.0,Accounting Assistant III,Retail,Mass Customer,N,Yes,1.0
3482,Roch,Rilston,F,71,21.0,Clinical Specialist,Health,Affluent Customer,N,Yes,2.0
3201,Zed,Blanckley,M,61,21.0,Assistant Professor,Financial Services,Mass Customer,N,Yes,1.0
2541,Cleveland,Islep,M,17,21.0,Software Engineer II,Financial Services,High Net Worth,N,Yes,2.0
3363,Orson,Tythacott,M,25,22.0,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,3.0
3089,Wood,Nathan,M,27,22.0,Web Developer III,Manufacturing,Affluent Customer,N,Yes,2.0
2134,Crosby,Ruoff,M,16,22.0,Nurse,Manufacturing,Affluent Customer,N,No,2.0
2938,Richardo,Cocher,M,79,22.0,Assistant Manager,Argiculture,Affluent Customer,N,No,2.0
3954,Archaimbaud,McAteer,M,63,22.0,Human Resources Assistant III,Financial Services,High Net Worth,N,No,2.0
1390,Christyna,Feldberg,F,74,22.0,Accounting Assistant I,Retail,High Net Worth,N,Yes,1.0
1392,Marris,Waison,F,28,22.0,Human Resources Manager,Financial Services,Mass Customer,N,No,1.0
2337,Odilia,Bick,F,47,22.0,Programmer Analyst II,Health,Mass Customer,N,No,1.0
1229,Sebastian,Trass,M,38,22.0,GIS Technical Architect,Manufacturing,Affluent Customer,N,Yes,1.0
3423,Griselda,Bezants,F,57,22.0,Registered Nurse,Health,Affluent Customer,N,No,1.0
1080,Monah,Talbot,F,70,22.0,Speech Pathologist,Property,Mass Customer,N,Yes,2.0
2431,Alvy,Tyndall,M,15,22.0,Senior Cost Accountant,Financial Services,Mass Customer,N,Yes,2.0
435,Jerome,Muggeridge,M,5,22.0,GIS Technical Architect,Telecommunications,Mass Customer,N,No,1.0
644,Tomlin,Hastwall,M,59,22.0,Administrative Officer,Health,Affluent Customer,N,No,2.0
3675,Samuele,Heller,M,88,22.0,Analog Circuit Design manager,Property,Affluent Customer,N,Yes,1.0
803,Nina,Murcutt,F,96,22.0,Nuclear Power Engineer,Manufacturing,High Net Worth,N,No,3.0
3063,Andrea,Wildber,M,74,22.0,VP Sales,Financial Services,Affluent Customer,N,No,2.0
3650,Darrelle,Rosas,F,85,22.0,Office Assistant I,IT,Mass Customer,N,Yes,2.0
3460,Reinhold,Barthrup,M,22,22.0,Actuary,Financial Services,Mass Customer,N,No,2.0
967,April,Causon,F,44,22.0,Sales Associate,Manufacturing,Affluent Customer,N,Yes,1.0
2006,Hyacinthia,Tuley,F,33,22.0,Senior Developer,Property,High Net Worth,N,Yes,2.0
951,Meryl,Dumbar,M,44,22.0,Assistant Media Planner,Entertainment,Mass Customer,N,No,1.0
2093,Salem,Doiley,M,94,22.0,Programmer II,Financial Services,High Net Worth,N,No,2.0
2521,Kellia,Martugin,F,35,22.0,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,3.0
842,Mahmud,Dobbson,M,59,22.0,Compensation Analyst,Financial Services,High Net Worth,N,No,2.0
164,Aarika,Van Vuuren,F,55,22.0,Senior Editor,Retail,Affluent Customer,N,Yes,1.0
931,Katrina,Sappson,F,59,22.0,Design Engineer,Manufacturing,Affluent Customer,N,Yes,1.0
2755,Karen,La Wille,F,66,22.0,Automation Specialist I,Manufacturing,Mass Customer,N,Yes,1.0
2929,Winny,Cakes,M,97,22.0,Nurse,Retail,Mass Customer,N,No,2.0
3386,Cliff,Nolin,M,24,22.0,Structural Engineer,IT,High Net Worth,N,Yes,2.0
1430,Kalli,Pigeram,F,86,22.0,Biostatistician I,Manufacturing,Mass Customer,N,Yes,3.0
3989,Nicolas,Burdass,M,75,22.0,Environmental Specialist,Argiculture,Affluent Customer,N,Yes,1.0
3953,Allyson,Simak,F,79,22.0,Help Desk Operator,Health,Affluent Customer,N,Yes,2.0
914,Marc,Egleton,M,73,22.0,Chemical Engineer,Manufacturing,Affluent Customer,N,Yes,2.0
3908,Dolf,Serridge,M,64,22.0,Junior Executive,Health,High Net Worth,N,No,1.0
3152,Lettie,McGenis,F,6,22.0,Teacher,Financial Services,High Net Worth,N,Yes,3.0
1984,Hewett,Alessandretti,M,70,22.0,Information Systems Manager,Health,Mass Customer,N,Yes,1.0
334,Fredi,Iannuzzelli,F,71,22.0,Financial Advisor,Financial Services,Affluent Customer,N,Yes,3.0
377,Levy,Bonavia,M,65,22.0,Staff Scientist,Argiculture,Mass Customer,N,No,1.0
351,Dev,Hafner,M,69,22.0,Pharmacist,Health,Mass Customer,N,Yes,2.0
3133,Eda,MacCheyne,F,89,22.0,Quality Control Specialist,Manufacturing,Mass Customer,N,No,2.0
2620,Henderson,Koubek,M,26,22.0,Civil Engineer,Manufacturing,Mass Customer,N,No,1.0
3379,Elysee,Spurr,F,51,22.0,Food Chemist,Health,Mass Customer,N,Yes,2.0
361,Stephana,Minero,F,59,22.0,Software Engineer IV,Health,Mass Customer,N,Yes,2.0
421,Tish,Netti,F,26,22.0,Sales Representative,Retail,Mass Customer,N,Yes,2.0
586,Jayme,Baunton,F,63,22.0,Chief Design Engineer,Manufacturing,Mass Customer,N,No,4.0
2741,Reinwald,Sinkins,M,6,23.0,Statistician II,Property,High Net Worth,N,No,4.0
875,Caryl,Linnett,M,34,23.0,Recruiting Manager,Financial Services,Mass Customer,N,Yes,2.0
2704,Orlando,Gniewosz,M,6,23.0,Account Representative IV,Retail,Affluent Customer,N,Yes,3.0
3772,Anselma,Rennie,F,45,23.0,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,2.0
116,Scottie,Swiffen,M,49,23.0,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2.0
3357,Georgie,Henze,M,25,23.0,Design Engineer,Manufacturing,Affluent Customer,N,No,4.0
2744,Bjorn,Isitt,M,59,23.0,Senior Financial Analyst,Financial Services,Mass Customer,N,No,3.0
1724,Davita,Pristnor,F,28,23.0,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,4.0
2302,Loraine,Beamish,F,43,23.0,Mechanical Systems Engineer,Retail,Mass Customer,N,Yes,4.0
906,Cammy,Marcroft,M,73,23.0,Financial Analyst,Financial Services,High Net Worth,N,Yes,3.0
772,Lorianna,Vidyapin,F,12,23.0,Community Outreach Specialist,Entertainment,Mass Customer,N,No,4.0
826,Marc,Waddilove,M,92,23.0,Recruiting Manager,Financial Services,Mass Customer,N,Yes,1.0
3494,Robers,Richen,M,72,23.0,Account Representative IV,Argiculture,High Net Worth,N,No,1.0
3674,Rodger,Gores,M,59,23.0,Tax Accountant,Property,Mass Customer,N,No,3.0
2203,Ganny,Alessandrelli,M,13,23.0,Sales Associate,Health,High Net Worth,N,Yes,2.0
1415,Merilyn,Dikle,F,68,23.0,Executive Secretary,Property,High Net Worth,N,Yes,3.0
2201,Trisha,Basset,F,56,23.0,Design Engineer,Financial Services,Affluent Customer,N,Yes,1.0
704,Lindsay,Acaster,F,49,23.0,Research Nurse,Health,Mass Customer,N,No,4.0
1534,Rosabelle,Hollington,F,74,23.0,Human Resources Assistant I,Manufacturing,Mass Customer,N,No,4.0
774,Phelia,Perotti,F,79,23.0,Operator,Manufacturing,High Net Worth,N,No,1.0
1432,Hiram,Kittiman,M,70,23.0,Tax Accountant,Argiculture,High Net Worth,N,Yes,2.0
2016,Laraine,Merioth,F,89,23.0,Executive Secretary,Retail,Affluent Customer,N,Yes,1.0
1278,Betsy,Schruurs,F,14,23.0,Pharmacist,Health,Affluent Customer,N,No,2.0
1428,Morissa,Ozintsev,F,93,23.0,Sales Representative,Retail,High Net Worth,N,No,1.0
3774,Elizabeth,Christy,F,38,23.0,Statistician I,Property,High Net Worth,N,No,2.0
2626,Gerome,Lawrenz,M,42,23.0,Account Coordinator,Property,Affluent Customer,N,Yes,4.0
1334,Cicily,Jenks,F,72,23.0,Senior Financial Analyst,Financial Services,Mass Customer,N,No,4.0
2875,Keven,Leahair,M,71,23.0,Financial Analyst,Financial Services,High Net Worth,N,No,2.0
2365,Lauretta,Furmonger,F,2,23.0,Structural Analysis Engineer,Argiculture,Mass Customer,N,Yes,3.0
3867,Carmelia,Klimentyonok,F,14,23.0,Geologist II,IT,Mass Customer,N,Yes,1.0
2377,Kristien,Dunne,F,29,23.0,Analog Circuit Design manager,IT,High Net Worth,N,No,2.0
1380,Lavina,Clavey,F,99,23.0,Financial Analyst,Financial Services,Mass Customer,N,No,3.0
3332,Cissy,Jeffress,F,43,23.0,Account Representative III,Health,Mass Customer,N,No,3.0
331,Ford,Groucock,M,87,23.0,Desktop Support Technician,Health,Mass Customer,N,Yes,3.0
1384,Marcile,Carren,F,48,23.0,Quality Control Specialist,Manufacturing,Mass Customer,N,No,2.0
3858,Sabina,Tarbin,F,57,23.0,Librarian,Entertainment,Mass Customer,N,Yes,1.0
3136,Leonardo,Brennon,M,60,23.0,Marketing Manager,Retail,Mass Customer,N,Yes,3.0
2224,Sydel,Seccombe,F,3,23.0,Budget/Accounting Analyst III,Retail,High Net Worth,N,Yes,4.0
2549,Mike,Geggus,M,12,23.0,Pharmacist,Health,Mass Customer,N,Yes,4.0
2044,Leyla,Eddington,F,84,23.0,Quality Engineer,Health,Mass Customer,N,Yes,1.0
1680,Loise,Austins,F,5,23.0,Desktop Support Technician,Property,Mass Customer,N,Yes,4.0
3070,Malissia,Minthorpe,F,74,23.0,Account Executive,Health,Affluent Customer,N,Yes,1.0
1714,Esma,Rycroft,F,80,23.0,Senior Sales Associate,Property,High Net Worth,N,Yes,4.0
1152,Humfrid,Ducket,M,47,23.0,Business Systems Development Analyst,Financial Services,Mass Customer,N,Yes,3.0
3985,Caryn,Padbury,F,44,23.0,Web Developer IV,Property,Mass Customer,N,No,4.0
1459,Haydon,Berkery,M,89,23.0,Senior Sales Associate,Manufacturing,Mass Customer,N,No,4.0
99,Reggie,Mulliner,M,97,23.0,VP Accounting,Financial Services,Mass Customer,N,No,3.0
2292,Christie,MacClure,F,17,23.0,Research Nurse,Health,Mass Customer,N,Yes,2.0
3030,Flor,Agnew,F,68,23.0,Technical Writer,Manufacturing,Affluent Customer,N,No,3.0
1736,Garrek,Rowbotham,M,83,23.0,Associate Professor,IT,Affluent Customer,N,No,4.0
3216,Edgar,Ordish,M,59,23.0,Database Administrator III,Manufacturing,Mass Customer,N,Yes,1.0
1142,Michal,Paiton,M,95,23.0,Desktop Support Technician,Telecommunications,Mass Customer,N,No,2.0
1302,Ericka,Eggers,F,29,23.0,Biostatistician I,Financial Services,Affluent Customer,N,Yes,2.0
1496,Cordie,Disbrow,F,22,23.0,Human Resources Manager,IT,Affluent Customer,N,No,3.0
3433,Karissa,Cabral,F,10,23.0,Computer Systems Analyst II,Property,Mass Customer,N,No,2.0
632,Angeli,O'Hegertie,M,67,23.0,General Manager,Health,Mass Customer,N,No,1.0
1413,Vi,Lauga,F,47,23.0,Administrative Assistant II,Financial Services,Mass Customer,N,No,3.0
810,Fawnia,Bartrum,F,24,23.0,Software Test Engineer IV,Health,Mass Customer,N,Yes,1.0
1196,Phillie,Bradforth,F,23,23.0,Research Nurse,Health,Mass Customer,N,No,2.0
1963,Syman,Trimnell,M,81,23.0,Biostatistician I,Argiculture,Mass Customer,N,Yes,4.0
2714,Emmy,Jenton,F,50,23.0,Occupational Therapist,Health,High Net Worth,N,Yes,1.0
3990,Reynard,Hagger,M,99,24.0,Desktop Support Technician,Health,High Net Worth,N,No,1.0
604,Mella,Petrovsky,F,72,24.0,Help Desk Operator,IT,Affluent Customer,N,No,3.0
2133,Clarissa,Blaisdale,F,44,24.0,General Manager,Financial Services,High Net Worth,N,No,3.0
2198,Marijn,Arnoll,M,1,24.0,Editor,Property,Affluent Customer,N,Yes,1.0
3219,Denyse,Scutts,F,94,24.0,Web Developer III,Financial Services,Mass Customer,N,No,3.0
1466,Cyndia,Gull,F,62,24.0,Cost Accountant,Financial Services,High Net Worth,N,Yes,2.0
3943,Adler,Dredge,M,19,24.0,VP Accounting,Financial Services,Affluent Customer,N,No,2.0
2187,Brunhilde,Kendall,F,52,24.0,Budget/Accounting Analyst I,Health,Mass Customer,N,No,2.0
3917,Artemas,Kyncl,M,79,24.0,Chemical Engineer,Manufacturing,Mass Customer,N,No,4.0
1623,Katy,Taffee,F,29,24.0,Software Test Engineer III,Entertainment,High Net Worth,N,Yes,2.0
2865,Lila,Eyeington,F,11,24.0,Electrical Engineer,Manufacturing,High Net Worth,N,No,3.0
390,Royall,Slimings,M,83,24.0,Programmer Analyst II,Health,Affluent Customer,N,No,3.0
2298,Brigham,Vyse,M,64,24.0,Environmental Tech,Property,Mass Customer,N,Yes,5.0
1156,Breena,Risebrow,F,22,24.0,Marketing Assistant,Argiculture,Mass Customer,N,Yes,1.0
1197,Isobel,Lampett,F,44,24.0,Professor,Financial Services,High Net Worth,N,Yes,5.0
3502,Wilfrid,Cleaves,M,5,24.0,Senior Sales Associate,Retail,High Net Worth,N,Yes,3.0
1527,Gerek,Chape,M,23,24.0,Chemical Engineer,Manufacturing,Mass Customer,N,No,2.0
3413,Zulema,Cristofolo,F,93,24.0,VP Accounting,Financial Services,Mass Customer,N,No,3.0
1753,Kerry,Ford,F,6,24.0,VP Product Management,Health,High Net Worth,N,Yes,1.0
3481,Haley,Dessent,M,37,24.0,Systems Administrator IV,Manufacturing,High Net Worth,N,No,4.0
1251,Codie,Arnecke,M,63,24.0,Desktop Support Technician,Property,Mass Customer,N,No,2.0
1207,Mabel,Marousek,F,30,24.0,Engineer IV,Health,Mass Customer,N,No,1.0
3609,Chicky,Butterfield,M,69,24.0,Marketing Manager,Manufacturing,Mass Customer,N,No,4.0
2781,Linnea,Jeacop,F,4,24.0,VP Sales,Financial Services,Affluent Customer,N,Yes,5.0
3753,Ebony,Peagrim,F,16,24.0,Office Assistant II,Manufacturing,Mass Customer,N,No,3.0
2550,Dionysus,Elmhurst,M,34,24.0,Pharmacist,Health,Mass Customer,N,Yes,4.0
183,Dannie,Hissie,F,7,24.0,Geologist III,Retail,Affluent Customer,N,No,3.0
1491,Agneta,Swiggs,F,96,24.0,Senior Sales Associate,Health,Mass Customer,N,Yes,4.0
3198,Dur,Knappen,M,66,24.0,Media Manager III,Manufacturing,Mass Customer,N,Yes,1.0
134,Merna,McCulloch,F,34,24.0,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5.0
1025,Ario,Jeromson,M,69,24.0,Quality Engineer,IT,Mass Customer,N,Yes,5.0
677,El,Toupe,M,59,24.0,Senior Cost Accountant,Financial Services,Mass Customer,N,No,5.0
2930,Goddard,Benthall,M,46,24.0,Assistant Media Planner,Entertainment,Mass Customer,N,No,3.0
145,Filippo,Ferrara,M,33,24.0,Account Executive,Financial Services,Mass Customer,N,No,4.0
130,Raddy,Delete,M,32,24.0,Chemical Engineer,Manufacturing,Mass Customer,N,No,1.0
663,Massimo,Seymour,M,27,24.0,VP Sales,Property,Affluent Customer,N,Yes,3.0
2167,Laina,Semorad,F,31,24.0,Librarian,Entertainment,Mass Customer,N,No,1.0
2386,Adrianne,Lowerson,F,93,24.0,Compensation Analyst,Financial Services,Mass Customer,N,No,2.0
3556,Larina,Gheeorghie,F,38,24.0,Senior Developer,Manufacturing,High Net Worth,N,No,3.0
2594,Sigismond,Stockow,M,90,24.0,Internal Auditor,Manufacturing,Mass Customer,N,No,2.0
1408,Kendricks,Plastow,M,14,24.0,Dental Hygienist,Health,High Net Worth,N,No,4.0
3868,Rica,Corrado,F,60,24.0,Social Worker,Health,Affluent Customer,N,Yes,4.0
965,Meggie,Whitchurch,F,86,24.0,Structural Engineer,Retail,High Net Worth,N,Yes,5.0
2388,Quincy,Weben,M,84,24.0,Cost Accountant,Financial Services,Mass Customer,N,No,1.0
796,Ira,Lamlin,F,8,24.0,Financial Analyst,Financial Services,Mass Customer,N,No,2.0
253,Amalee,Choak,F,82,24.0,Food Chemist,Health,Mass Customer,N,Yes,1.0
1349,Curran,Gush,M,83,24.0,Electrical Engineer,Manufacturing,Affluent Customer,N,No,1.0
103,Ethyl,Runham,F,49,24.0,Product Engineer,Financial Services,Affluent Customer,N,Yes,4.0
1535,Emanuel,Baukham,M,80,24.0,Cost Accountant,Financial Services,Affluent Customer,N,Yes,3.0
3111,Maxwell,Blabber,M,42,25.0,Associate Professor,Financial Services,Mass Customer,N,Yes,4.0
2777,Dita,Darlison,F,0,25.0,Safety Technician III,Health,Mass Customer,N,Yes,1.0
320,Aldous,Cubin,M,19,25.0,Registered Nurse,Health,Mass Customer,N,No,4.0
1295,Irving,Murton,M,66,25.0,Nurse,Argiculture,Mass Customer,N,Yes,5.0
1410,Althea,Macvey,F,10,25.0,Marketing Manager,Retail,High Net Worth,N,Yes,6.0
2948,Yank,Scarlett,M,23,25.0,Internal Auditor,Manufacturing,Mass Customer,N,Yes,2.0
3537,Sholom,Pavlasek,M,1,25.0,Graphic Designer,Financial Services,Mass Customer,N,No,4.0
2738,Lurleen,Shoebridge,F,77,25.0,Research Nurse,Health,Mass Customer,N,No,5.0
2086,Gayle,Cockerell,M,68,25.0,Senior Cost Accountant,Financial Services,High Net Worth,N,No,1.0
2120,Clare,Attoe,M,80,25.0,Web Designer III,Manufacturing,Mass Customer,N,No,1.0
173,Ebba,Hanselmann,F,99,25.0,General Manager,Health,Affluent Customer,N,No,1.0
427,Giusto,Torbett,M,77,25.0,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,2.0
1144,Damon,Phelip,M,73,25.0,Environmental Specialist,Health,High Net Worth,N,Yes,5.0
1609,Reginald,Hanwright,M,64,25.0,Professor,Property,Mass Customer,N,Yes,3.0
652,Edee,Stoker,F,62,25.0,Staff Scientist,Financial Services,High Net Worth,N,Yes,1.0
1779,Krishnah,Firmage,M,55,25.0,Information Systems Manager,Argiculture,Affluent Customer,N,No,5.0
2479,Helge,Voller,F,81,25.0,Community Outreach Specialist,Retail,Mass Customer,N,No,5.0
2566,Nani,Brilleman,F,48,25.0,Accountant II,Entertainment,Affluent Customer,N,Yes,6.0
2369,Averyl,Gosz,F,80,25.0,Financial Analyst,Financial Services,Mass Customer,N,Yes,1.0
3143,Corabelle,Streatfeild,F,0,25.0,Chief Design Engineer,Manufacturing,Mass Customer,N,No,5.0
2705,Madalena,MacCaughey,F,11,25.0,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,3.0
3573,Mab,Dwyer,F,68,25.0,Accounting Assistant I,Manufacturing,Mass Customer,N,Yes,3.0
3045,Renato,Mungham,M,52,25.0,Cost Accountant,Financial Services,Affluent Customer,N,Yes,2.0
2802,Clem,Fosdick,F,36,25.0,Programmer Analyst I,Financial Services,Mass Customer,N,No,3.0
3862,Casey,Kett,F,1,25.0,Structural Engineer,Health,Mass Customer,N,No,4.0
1631,Towny,Beebee,M,11,25.0,Speech Pathologist,Financial Services,Affluent Customer,N,No,1.0
3405,Gavra,Robez,F,89,25.0,Project Manager,Financial Services,Mass Customer,N,Yes,3.0
3431,York,Calbreath,M,97,25.0,Community Outreach Specialist,Property,Affluent Customer,N,No,5.0
698,Ellette,Fahy,F,90,25.0,Human Resources Manager,Manufacturing,High Net Worth,N,Yes,1.0
56,Reese,Ensor,M,44,25.0,VP Sales,Property,Mass Customer,N,Yes,4.0
1447,Renaldo,Maudsley,M,29,25.0,Civil Engineer,Manufacturing,Mass Customer,N,No,4.0
